"","x"
"1044","A Wang-on"
"1045","J Spinks"
"1046","W Schneider"
"1047","R Wray"
"1048","H Henninger"
"1049","W E"
"1050","C Scott"
"1051","J S"
"1052","C Lebiere"
"1053","S Wood"
"1054","M Byrne"
"1055","L Coward"
"1056","J Carroll"
"1057","T Kubose"
"1058","D Jordan"
"1059","M Suwa"
"1060","S Luan"
"1061","R Sorkin"
"1062","J Itzkowitz"
"1063","A Tokosumi"
"1064","N Yoshimine"
"1065","K Coventry"
"1066","D Joyce"
"1067","L Richards"
"1068","M Hegarty"
"1069","J Zacks"
"1070","J Kolodner"
"1071","S Doane"
"1072","D Carruth"
"1073","N Stein"
"1074","E Albro"
"1075","J Lipinski"
"1076","X Hu"
"1077","M Ventura"
"1078","A Olney"
"1079","M Louwerse"
"1080","N Person"
"1081","T Landauer"
"1082","S Guerlain"
"1083","J Clement"
"1084","D Cassenti"
"1085","I Farkaš"
"1086","S Chaigneau"
"1087","L Barsalou"
"1088","R Holt"
"1089","J Hansberger"
"1090","R Chong"
"1091","D Boehm-Davis"
"1092","E Freeman"
"1093","M Hegart"
"1094","B MacWhinney"
"1095","S Card"
"1096","D Woods"
"1097","M Diez"
"1098","R Shiffrin"
"1099","J Stasko"
"1100","J Xiao"
"1101","S Dumais"
"1102","W Geisler"
"1103","J Raaijmakers"
"1104","U Hoffrage"
"1105","Y Rogers"
"1106","H Brignull"
"1107","H Branigan"
"1108","J McLean"
"1109","H Reeve"
"1110","A Bloomfield"
"1111","A Hornof"
"1112","T Halverson"
"1113","T Honkela"
"1114","T Knuuttila"
"1115","Z Cai"
"1116","P Penumatsa"
"1117","H Group"
"1118","L Frey"
"1119","S Siler"
"1120","C Oshima"
"1121","S Gelaes"
"1122","A Detiffe"
"1123","B Hemforth"
"1124","L Konieczny"
"1125","K Kim"
"1126","S Elzer"
"1127","N Green"
"1128","S Carberry"
"1129","S Yuan"
"1130","B Martin"
"1131","C Kemp"
"1132","T Siedlecki"
"1133","M Dijkstra"
"1134","B Bergen"
"1135","S Narayan"
"1136","J Feldman"
"1137","D Sobel"
"1138","T Kushnir"
"1139","R Hartsuiker"
"1140","L Karlsson"
"1141","M Harrington"
"1142","S Dennis"
"1143","N Gillespie"
"1144","J Esterly"
"1145","M Mayberry"
"1146","R Miikkulaainen"
"1147","A Olsson"
"1148","P Quin"
"1149","T Murray"
"1150","J Locke"
"1151","P Paritosh"
"1152","A Robinson"
"1153","C Hertzog"
"1154","A Chaudhuri"
"1155","E Kandogan"
"1156","E Haber"
"1157","F Anggoro"
"1158","D Davidson"
"1159","K Bock"
"1160","D Irwin"
"1161","M Colagrosso"
"1162","D Huber"
"1163","A Welham"
"1164","M Schnadt"
"1165","W Phillips"
"1166","J Queseda"
"1167","C Andersen"
"1168","M Scheutz"
"1169","K Eberhard"
"1170","K Targowski"
"1171","K Oberauer"
"1172","O Wilhelm"
"1173","K Malone"
"1174","E Davelaar"
"1175","M Usher"
"1176","D Devnich"
"1177","G Stevens"
"1178","T Susi"
"1179","J Lindblom"
"1180","T Ziemke"
"1181","C Jaynes"
"1182","E Kurz-Milcke"
"1183","W Newstetter"
"1184","J Davies"
"1185","M Agrawala"
"1186","P Hanrahan"
"1187","S Haywood"
"1188","M Pickering"
"1189","G Logan"
"1190","H Ji"
"1191","S Ploux"
"1192","N Sebanz"
"1193","P Tibbetts"
"1194","T Bosse"
"1195","M Delfos"
"1196","R Ratwani"
"1197","A Weidenfeld"
"1198","I Pearson"
"1199","S Ali"
"1200","E Spelke"
"1201","A Kittredge"
"1202","Z Solan"
"1203","D Horn"
"1204","E Ruppin"
"1205","A Hoffman"
"1206","Y Sakamoto"
"1207","I Myung"
"1208","M Pitt"
"1209","W Kim"
"1210","S Inamdar"
"1211","D Cousineau"
"1212","P Fitzpatrick"
"1213","E Balcetis"
"1214","R Vick"
"1215","M rosby"
"1216","B Auernheimer"
"1217","C Robinson"
"1218","I Vlaev"
"1219","P Knoeferle"
"1220","M Crocker"
"1221","E Tomida"
"1222","S Maruno"
"1223","P Dominey"
"1224","J Jameson"
"1225","C Castelfranchi"
"1226","F Giardini"
"1227","E Lorini"
"1228","L Tummolini"
"1229","A Nair"
"1230","C Yu"
"1231","D Ballard"
"1232","R Dossena"
"1233","A Bender"
"1234","A Copeland"
"1235","T Fukaya"
"1236","F Bosco"
"1237","D Race"
"1238","M MacDonald"
"1239","R Gray"
"1240","L Gabora"
"1241","M Gonitzke"
"1242","M Schlesinger"
"1243","A Gopnik"
"1244","L Schulz"
"1245","D Danks"
"1246","R Alix-Gaudreau"
"1247","R Seabrook"
"1248","U Cress"
"1249","E Hannon"
"1250","S Trehub"
"1251","J Sims"
"1252","R Volz"
"1253","J Workman"
"1254","W Shebilske"
"1255","A Patalano"
"1256","R Leech"
"1257","R Cooper"
"1258","P Mautone"
"1259","I Blanchette"
"1260","A Richards"
"1261","J Yan"
"1262","G Jackson"
"1263","E Matthews"
"1264","H Mitchell"
"1265","P Chipman"
"1266","G Group"
"1267","M Nielsen"
